sku_id,name_en,name_ar,category,retailer,url,affiliate_url,image
black-tea-500g,Black Tea 500g,شاي أسود ٥٠٠ جرام,supermarket,noon,https://www.noon.com/egypt-en/black-tea-500g/Z381EC15AEC5299666293Z/p/,,
dolce-gusto-espresso-16,Dolce Gusto Espresso Buondi 16 Caps,دولشي غوستو إسبريسو بيوندي ١٦ كبسولة,supermarket,noon,https://www.noon.com/egypt-en/dolce-gusto-espresso-buondi-16-capsules/Z6FD6714CF8C9657369D8Z/p/,,
detergent-oriental-9kg,Automatic Powder Detergent Oriental 9kg,مسحوق غسيل أوتوماتيك أورينتال ٩ كجم,supermarket,noon,https://www.noon.com/egypt-en/automatic-powder-detergent-oriental-8-1kg-9kg/N52141751A/p/,,
illy-espresso-250g,Illy Classico Ground Espresso Coffee 250g,قهوة إيلي كلاسيكو مطحونة ٢٥٠ جرام,supermarket,noon,https://www.noon.com/egypt-en/illy-classico-classic-roast-ground-espresso-coffee-250g/Z96F92206D45AA51F71D7Z/p/,,
tomato-paste-2800g,Tomato Paste 2800g,معجون طماطم ٢٨٠٠ جرام,supermarket,noon,https://www.noon.com/egypt-en/tomato-paste-2800grams/N40074702A/p/,,
women-blouse-longsleeve,Women Blouse with Long Sleeves,بلوزة نسائية بأكمام طويلة,fashion,noon,https://www.noon.com/egypt-en/women-blouse-with-long-sleeves/ZCDEB88BA5BACE03A1A14Z/p/,,
khaki-linen-shirt,Khaki Sleeveless Linen Look Shirt,قميص كتاني بيج بدون أكمام,fashion,noon,https://www.noon.com/egypt-en/khaki-zero-sleeve-linen-look-regular-regular-pattern-woven-shirt/ZE474B7548537F4466EE8Z/p/,,
black-knitted-blouse,Black Shirring Fitted Short Sleeve Blouse,بلوزة سوداء بياقة قائمة بأكمام قصيرة,fashion,noon,https://www.noon.com/egypt-en/black-shirring-drape-detailed-fitted-fitted-short-sleeve-stand-collar-stretch-knitted-blouse/Z2755DAFE7A69C3E1F26AZ/p/,,
samsung-s26-ultra-256gb,Samsung Galaxy S26 Ultra 256GB Black,سامسونج جالاكسي S26 ألترا ٢٥٦ جيجا أسود,electronics,noon,https://www.noon.com/egypt-en/galaxy-s26-ultra-dual-sim-black-12gb-ram-256gb-5g-middle-east-version/N70283855V/p/,https://s.noon.com/Zr0fOrOmu3E,
iphone-17-256gb-blue,iPhone 17 256GB Mist Blue 5G,آيفون ١٧ ٢٥٦ جيجا أزرق ميست ٥ جي,electronics,noon,https://www.noon.com/egypt-en/iphone-17-256gb-mist-blue-5g-nano-sim-esim-with-facetime-middle-east-version/N70258760V/p/,,
haier-50-qled-tv,Haier 50 inch 4K QLED Smart Google TV,شاشة هاير ٥٠ بوصة ٤K QLED سمارت,electronics,noon,https://www.noon.com/egypt-en/haier-50-inch-4k-qled-smart-google-tv-h50s80fux-h50s80fux-black/N70202011V/p/,,
ps5-slim-disc,PlayStation 5 Slim Disc Version,بلايستيشن ٥ سليم ديسك,electronics,noon,https://www.noon.com/egypt-en/playstation-5-slim-console-international-version-disc-version-with-controller-new-model-2023/N70022609V/p/,,
mens-deo-dark-wood-50ml,Men Deep Black Carbon Antiperspirant Roll-On 50ml,مزيل عرق رجالي ديب بلاك كاربون ٥٠ مل,supermarket,noon,https://www.noon.com/egypt-en/men-deep-black-carbon-dark-wood-antiperspirant-antibacterial-roll-on-dark-wood-50ml/N15767861A/p/,,
airfryer-xl-6-2l,Airfryer XL 6.2L Touchscreen 1700W,ايرفراير اكس ال ٦.٢ لتر تاتش سكرين ١٧٠٠ وات,electronics,noon,https://www.noon.com/egypt-en/airfryer-xl-see-through-cooking-window-13-cooking-methods-9-preset-functions-touchscreen-rapid-air-technology-6-2-l-1700-w-na230-09-black/N70131429V/p/,,
buzz-lightyear-figure-12in,Toy Story Buzz Lightyear Action Figure 12in,باز لايت يير حركي ١٢ بوصة,toys,noon,https://www.noon.com/egypt-en/toy-story-3-buzz-lightyear-action-figure-12inch/N36430876A/p/,,
hair-beader-2in1,2-in-1 Double the Fun Hair Beader,جهاز تضفير الشعر ٢ في ١,beauty,noon,https://www.noon.com/egypt-en/2-in-1-double-the-fun-hair-beader/N16618713A/p/,,
bits-keys-set-219pc,219-Piece Bits and Keys Set,طقم مفكات ومفاتيح ٢١٩ قطعة,tools,noon,https://www.noon.com/egypt-en/219-piece-bits-and-keys-set/N39672695A/p/,,
mini-stepper-ceramic,Ceramic Mini Stepper Steel,ستيبر ميني ستانلس,sports,noon,https://www.noon.com/egypt-en/ceramic-mini-stepper-steel/N42355312A/p/,,
mg63-home-gym-73kg,MG63 Home Gym Single Station 73kg Weights,جهاز جيم منزلي MG63 ٧٣ كجم أوزان,sports,noon,https://www.noon.com/egypt-en/mg63-multifunctional-comprehensive-training-equipment-home-gym-single-station-73kg-weights/ZDE104DD0C7C0B27E9637Z/p/,,
accuchek-strips-50,Accu-Chek Instant Blood Glucose 50 Test Strips,شرائط قياس السكر أكيوتشيك إنستانت ٥٠ شريط,health,noon,https://www.noon.com/egypt-en/accu-chek-instant-blood-glucose-50-test-strips/N20894246A/p/,,
executive-leather-notebook,Executive Leather Notebook,نوتبوك جلد تنفيذي,stationery,noon,https://www.noon.com/egypt-en/executive-leather-notebook/Z08DCADD21C9D9FD8F9DFZ/p/,,
